source_record_id,source_file,library_id,name,address,geocode_provider,geocode_query,geocode_result_label,latitude,longitude,confidence,review_status,notes
dpl_location_0068,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_033_0068,Mobile Service Point 033,"F Block, Near Park, Prashant Vihar, New Delhi",,"F Block, Near Park, Prashant Vihar, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0069,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_034_0069,Mobile Service Point 034,"Near Railway Colony Gate, Shakur Basti, Delhi",,"Near Railway Colony Gate, Shakur Basti, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0070,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_035_0070,Mobile Service Point 035,"Near Friendly Welfare Association office Flat No. A3/195, Paschim Vihar, New Delhi-110063",,"Near Friendly Welfare Association office Flat No. A3/195, Paschim Vihar, New Delhi-110063, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0071,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_036_0071,Mobile Service Point 036,"Paschim Vihar B-4, New Delhi",,"Paschim Vihar B-4, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0072,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_037_0072,Mobile Service Point 037,Kendriya Karmachari Awas Parisar Mohammadpur Delhi,,"Kendriya Karmachari Awas Parisar Mohammadpur Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0073,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_038_0073,Mobile Service Point 038,Loksabha sachivalay Awas Parisar R.K. Puram Sector-02 Delhi,,"Loksabha sachivalay Awas Parisar R.K. Puram Sector-02 Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0074,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_039_0074,Mobile Service Point 039,"C-Block, J.J. Colony, Near Delhi Library Association",,"C-Block, J.J. Colony, Near Delhi Library Association, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0075,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_040_0075,Mobile Service Point 040,"Near Mini Stadium, Naraina Vihar, Delhi",,"Near Mini Stadium, Naraina Vihar, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0076,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_041_0076,Mobile Service Point 041,"Near DDA Office, Shahpur Jat, Delhi",,"Near DDA Office, Shahpur Jat, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0077,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_042_0077,Mobile Service Point 042,"Near Mother Dairy, Khel Gaon, Shahpur Jat, Delhi",,"Near Mother Dairy, Khel Gaon, Shahpur Jat, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0078,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_043_0078,Mobile Service Point 043,"Green View Aptt. Dwarka, Sector-19, New Delhi",,"Green View Aptt. Dwarka, Sector-19, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0079,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_044_0079,Mobile Service Point 044,"Sector-A, Pocket-C Gate No. 2 Vasant Kunj Delhi",,"Sector-A, Pocket-C Gate No. 2 Vasant Kunj Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0080,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_045_0080,Mobile Service Point 045,"Near Market,R.K Puram Sector-4 ,New Delhi",,"Near Market,R.K Puram Sector-4 ,New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0081,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_046_0081,Mobile Service Point 046,Dussehra Medan Gandhi Vihar Delhi,,"Dussehra Medan Gandhi Vihar Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0082,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_047_0082,Mobile Service Point 047,Biodiversity Park Wazirabad Delhi,,"Biodiversity Park Wazirabad Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0083,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_048_0083,Mobile Service Point 048,"Opp. M.C. D Primary School, Main Road, Bakhtawar Pur Village, Delhi",,"Opp. M.C. D Primary School, Main Road, Bakhtawar Pur Village, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0084,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_049_0084,Mobile Service Point 049,"Palla Village Main Road, Delhi",,"Palla Village Main Road, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0085,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_050_0085,Mobile Service Point 050,"Geeta Bhawan Mandir, Malviya Nagar Road, Block-7, Malviya Nagar, New Delhi-110017",,"Geeta Bhawan Mandir, Malviya Nagar Road, Block-7, Malviya Nagar, New Delhi-110017, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0086,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_051_0086,Mobile Service Point 051,"Old Shiv Mandir, Khanpur Bus Stand, Delhi-110076",,"Old Shiv Mandir, Khanpur Bus Stand, Delhi-110076, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0087,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_052_0087,Mobile Service Point 052,"Near C.G.H.S Dispensary, Sector-1, Pushpvihar, Delhi",,"Near C.G.H.S Dispensary, Sector-1, Pushpvihar, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
