year,code,head,page,dept,dept_name,raw_line
2020-21-EN,13423,ROAD CUT RESTORATION CHARGES (rev inc),208,381,"ROADS,STREETS, PAVEMENTS",3646.28 1343.34 200.00 13423 ROAD CUT RESTORATION CHARG ES 150.00 150.00 150.00 500.00
2020-21-EN,DEPT381,DEPT TOTAL,208,381,"ROADS,STREETS, PAVEMENTS 12661.00 12611.00 12611.00 13132.70","381 ROADS,STREETS, PAVEMENTS 12661.00 12611.00 12611.00 13132.70 10523.29 11955.26 9706.00"
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),209,401,HEALTH DEPARTMENT,12.75 19.06 25.00 23306 PENALTY RECOVERED FROM CONTRACT ORS 25.00 25.00 25.00 25.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),210,411,CATTLE NUISANCE CONTROL DEPARTMENT,0.00 0.00 0.50 23306 PENALTY RECOVERED FROM CONTRACTORS 0.50 0.50 0.50 0.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),213,609,ZOO,0.31 0.00 0.40 23306 PENALTY RECOVERED FROM CONTRACTORS 0.40 0.40 0.40 0.40
2020-21-EN,DEPT371,DEPT TOTAL,242,371,ENGG.DEPT. GENERAL SUPERVISION 12336.32 17447.32 17447 .32 9,371 ENGG.DEPT. GENERAL SUPERVISION 12336.32 17447.32 17447 .32 9976.97 11285.99 13395.24 12348.64
2020-21-EN,38401,ROADS STREETS AND PAVEMENTS (rev exp),242,381,"ROADS,STREETS, PAVEMENTS",1229.79 1286.55 1587.06 38401 ROADS STREETS AND PAVEMEN TS 1580.00 1580.00 1580.00 1435.00
2020-21-EN,38407,FOOT-PATH PAVEMENTS (rev exp),242,381,"ROADS,STREETS, PAVEMENTS",161.24 151.13 272.44 38407 FOOT-PATH PAVEMENTS 283.00 283.00 283.00 223.00
2020-21-EN,38413,POLE PAVEMENTS (rev exp),242,381,"ROADS,STREETS, PAVEMENTS",37.15 24.93 52.00 38413 POLE PAVEMENTS 58.00 58.00 58.00 50.00
2020-21-EN,DEPT381,DEPT TOTAL,242,381,"ROADS,STREETS, PAVEMENTS 4297.35 4297.35 4297.35 3814.86 386","381 ROADS,STREETS, PAVEMENTS 4297.35 4297.35 4297.35 3814.86 3866.10 4479.83 4176.96"
2020-21-EN,DEPT371,DEPT TOTAL,271,371,ENGG.DEPT. GENERAL SUPERVISION 104562.42 129012.42 129 012.4,371 ENGG.DEPT. GENERAL SUPERVISION 104562.42 129012.42 129 012.42 30108.58 27676.22 79974.22 42320.90
2020-21-EN,64406,ROADS AND STREETS - GENERAL (capex),271,381,"ROADS,STREETS, PAVEMENTS",2715.84 2461.71 5800.00 64406 ROADS AND STREETS- GENERA L 9075.93 9617.02 9617.02 11900.00
2020-21-EN,64410,NALA - GENERAL (capex),271,381,"ROADS,STREETS, PAVEMENTS",0.00 40.00 0.00 64410 NALA - GENERAL 0.00 0.00 0.00 1000.00
2020-21-EN,64414,TRAFFIC CONTROL BLOCK (capex),271,381,"ROADS,STREETS, PAVEMENTS",133.72 494.54 732.77 64414 TRAFFIC CONTROL BLOCK 909.55 909.55 909.55 800.00
2020-21-EN,64452,70:20:10 SCHEME ROAD IN SOC (capex),271,381,"ROADS,STREETS, PAVEMENTS",6294.78 6434.79 5000.00 64452 EXPENSE UNDER 70:20:10 GR ANT SCHEME CONTRI.
