Name of Ground,Location,Area in Sq. Mtr,Circle ,Zone
N R Puram,Side 3 Borabanda,1800,10,Central Zone
"Aurora Co-Op. Hs Rd No.3, B.Hills",State bank opp lane,300,10,Central Zone
Bagh Lingampally Welfare Community Hall ,Sunderaiah bhavan back Side,528,9,Central Zone
Union Bank Colony,Tv9 Office Backside,200,10,Central Zone
Madhura Nagar II,Yousufguda Bustop backside,500,10,Central Zone
"Model Co-Op. H.S., Y.Guda",Yousufguda Police Lane Opp,150,10,Central Zone
Sanath Nagar Bus Stop,near Bustop,1525,10,Central Zone
Uday Nagar,sunder nagar opp lane,672,10,Central Zone
Alwyn Cly Playground,Alwyn Cly ,300,14,West Zone
KPHB VI Phase Playground - I,Behind KS Bakery,8153,14,West Zone
Huda Cly Playground (Beside Rly Station),Beside Chandanagar Rly Station,300,12,West Zone
B.K.Enclave Playground,Beside Coca Cola Company,950,12,West Zone
Maithry Playground,Beside Govt. School Pantancheruvu,9600,13,West Zone
Malaysian Township Playground,Beside Malaysian Township,8563,14,West Zone
Dr.Ambedkar Colony Playground (Beside Indoor Stadium),Beside Vevikananda Indoor Stadium Pantancheruvu,1350,13,West Zone
Kakatiya Playground,Beside Water Tank,900,13,West Zone
Bharat Nagar (Shiva),Bharat Nagar Shiva Sena,1224,14,West Zone
Bharat Nagar (Yuva),Bharat Nagar Yuva Sena,1584,14,West Zone
Bharat Nagar (Community Hall),Bharat Nagar( Near Community Hall),9156,14,West Zone
GHMC PJR Stadium Chandhnagar,Chanda Nagar,20230,12,West Zone
Gautham Enclave Playground,Chirac Public School,4855.2,11,West Zone
Srinivasa Nagar Playground (Dr.Ambedkar Nagar Sc Wada),Dr. Ambedkar nagar Sc Wada,1200,13,West Zone
"Asmanpet Playgropund  
(BowenPally)",Gangaputra sangam AsmanPet,650,14,West Zone
J.P Nagar Playground,J P Nagar,660,12,West Zone
Jyothi Nagar Playground,Jyothi Nagar,300,13,West Zone
KPHB IV Phase Playground,KPHB 4th Phase Cly,858,14,West Zone
KPHB Phase I,KPHB Phase I Road No 1,13500,14,West Zone
KPHB V Phase  (D Mart)  Playground,KPHB V Phase  (D Mart)  ,2420,14,West Zone
KPHB VII Phase Playground -I,KPHB VII Phase Cly,4056,14,West Zone
KPHB VII Phase Playground -II,KPHB VII Phase Cly,1750,14,West Zone
KPHB VII Phase Playground -III,KPHB VII Phase Cly,1675,14,West Zone
KPHB V Phase Playground (Opp.Rosary School.),Kphb V Phase Playground(Opp.Rosary School.),2920,14,West Zone
MAC Society Playground - I,MAC Society Cly R C Puram,2400,13,West Zone
MIG (C Park),MIG R C Puram,2400,13,West Zone
Old MIG Playground,MIG R C Puram,1200,13,West Zone
HIG Playgroud,Madhav a Nagar Beside Society Office HIG Phase 1 R C Puram,1800,13,West Zone
HIG Playground,Madhava Nagar HIG Phase 1 R C Puram,450,13,West Zone
Nalaganda Playground,Nalaganda Village,743,11,West Zone
Khajaguda Playground,Near DP School,3,11,West Zone
Moti Naga E Seva,Near E- Seva Moti Nagar,800,14,West Zone
CMC Playground,Near Jain Heritage School,500,11,West Zone
Mayuri Nagar Playground (Miyapur),Near Kendri Vihar Apts,668,12,West Zone
Gopanpally Playground,Near Lambadi Tanda,9589.02,11,West Zone
J.P.Colony Playground  (Near Main Raod),Near Main Road Pantancheruvu,156,13,West Zone
Bhagat Singh Nagar Playground,Near Sri Krishna Temple ,936,14,West Zone
Alwyn Cly Playground,Near Sri Venkateshwara Temple Alwyn Cly Pantancheruvu,800,13,West Zone
Vasanth Nagar Â¿ I,"Near Vasanth Nagar 
Library & Temple",2760,14,West Zone
Vasanth Nagar - II,"Near Vasanth Nagar 
Library & Temple",600,14,West Zone
Doyens Playground,Near WZ Office,1672,11,West Zone
MAC Society Playground - II,Near Water Tank MAC Society Cly R C Puram,2400,13,West Zone
Anjaneya Nagar,Near kukatpally Circle Office,600,14,West Zone
Bhuvana Vijayam Playground,Near venkateshwara Swamy Temple KPHB ,11130,14,West Zone
Nizampet Playground,"Nizampet 
(Near School)",13500,14,West Zone
KPHB  Phase V (Dr.Chandrashekar),Opp Telephone Cly,1770,14,West Zone
Ramya -I Playground(Opp.Ward Office),Opp. GHMC Ward Office ,8773,14,West Zone
Ramya-II Playground,Opp. GHMC Ward Office ,288,14,West Zone
HUDA Cly Playground (Opp.Temple),Opp. Laxmi Ganapathi temple Chandanagar,240,12,West Zone
Osbestos Cly Playground,Osbestes Cly,1200,14,West Zone
Surabhi Playground,Papireddy Cly,1200,11,West Zone
Police Quarters,Police Quarters R C Puram,400,13,West Zone
Prashant Nagar Playground,Prashant Nagar,2400,14,West Zone
Mallikarjuna Colony Playground (BowenPally),Road No 1 Mallikarjuna Cly,600,14,West Zone
Netaji Playground,SN Cly R C puram,1500,13,West Zone
Sai Ram Nagar Play Ground,Sai ram Nagar,1920,12,West Zone
Shanti Nagar Playground,Shanti Nagar  Pantancheruvu,270,13,West Zone
Sri Sai Nagar Playground,Sri Sai Nagar,150,13,West Zone
Srinagar Cly Playground,Srinagar Cly Patancheruvu,9600,13,West Zone
Srinivasa Nagar (Vadarabasti) Playground,Vadarabasti R C Puram,1200,13,West Zone
Yellamma Banda Playground,Yellamma Banda,8956,14,West Zone
Nanda Nagar,Addagutta,2316.72,18,North Zone
Konda Reddy Play Ground,Addagutta,1404.9,18,North Zone
Prashanth Nagar PG,Alwal,361.2,16,North Zone
"Employees Colony PG, Yapral",Alwal,14400,16,North Zone
Golnaka Alwal,Alwal,525,16,North Zone
Venkatapuram playground Bhudevi Nagar,Alwal,960,16,North Zone
"Manga puram PG, Old Alwal",Alwal,2479,16,North Zone
Old Alwal Foot Ball PG,Alwal,2479,16,North Zone
"Dr.Ambedkar Nagar PG, Old Alwal",Alwal,3600,16,North Zone
"Jai Jawahar Nagar PG, Yapral",Alwal,6231,16,North Zone
"Swarna andra PG, Yapral",Alwal,8100,16,North Zone
Kowkoor Ward office PG,Alwal,506,16,North Zone
Gokul Nagar PG,Alwal,5451,16,North Zone
Ramchandraiah Nagar Colony PG,Alwal,1763,16,North Zone
Sri Veer Hanuman Vyamshala,Alwal,300,16,North Zone
"Kindi Basthi PG, Barsa pet, Kowkoor",Alwal,506,16,North Zone
Father Balaiah Nagar PG Old Alwal,Alwal,638,16,North Zone
Bansilalpet I,Bansilalpet,1207.08,18,North Zone
Bhoiguda I Golla Komaraiah Play Ground,Bansilalpet,599.04,18,North Zone
Boiguda Playground Â¿ II,Bansilalpet,747.98,18,North Zone
Tatachary Colony,Begumpet,2270.1,18,North Zone
Pattigadda I,Begumpet,1508.91,18,North Zone
Sindhi Colony I,Begumpet,1019.92,18,North Zone
"Sindhi Colony II, Venkatrao Nagar Play Ground",Begumpet,1650.86,18,North Zone
Pattigadda II,Begumpet,720,18,North Zone
Bhagat Singh Nagar,Chintal,16000,15,North Zone
R.K.Puram Play Ground,Defence Colony,10332,17,North Zone
Vivekanandapuram Play Ground,Diffence Colony,293.4,17,North Zone
Sai Baba Nagar,JEEDIMETLA ,1200,15,North Zone
Bhel R & D Cly,Jeedmitla,12000,15,North Zone
Godavari Homes,Jeedmitla,16000,15,North Zone
Durga Estate,Jeedmitla,8500,15,North Zone
S R K Naik Nagar,Jeedmitla,8526,15,North Zone
Subash Nagar IDA '1'.,Jeedmitla,1800,15,North Zone
S V Cooperative Society,Jeedmitla,3600,15,North Zone
Madhura Nagar PG,Kakatiya Nagar,3018,17,North Zone
Lalapet II Pochamma Temple,Lalapet,2133.45,18,North Zone
Lalapet Beggar House,Lalapet,12823.2,18,North Zone
Ghmc Quarters Lalapet,Lalapet,767.96,18,North Zone
Namalgundu,Lalapet,349,18,North Zone
"Gandhi Statue PG
Malkajgiri",Malkajgiri,1191.45,17,North Zone
Marredpally (Opp.S.N.Home),Marredpally,10097.78,18,North Zone
Marredpally (Teacher'S Colony),Marredpally,5771.5,18,North Zone
Nehru Nagar PG,Marredpally,1639.61,18,North Zone
Lepresy Colony PG,Moulali,2359.44,17,North Zone
APIIC Ground (Moulali),Moulali,993.75,17,North Zone
"RTC Colony, Moulali",Moulali,1328.04,17,North Zone
