source_record_id,source_file,source_url,library_id,name,normalized_name,location_type,zone,address,latitude,longitude,coordinate_source,map_url,geocode_status,confidence,notes
dpl_location_0048,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_013_0048,Mobile Service Point 013,mobile service point 013,mobile_service_point,mobile,"Near Birla Mil Staff Quarters, Kamla Nagar, Delhi-07",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0049,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_014_0049,Mobile Service Point 014,mobile service point 014,mobile_service_point,mobile,"Near Govt. Girls Sr. Sec. School, Nagia Park, Shakti Nagar, Delhi-07",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0050,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_015_0050,Mobile Service Point 015,mobile service point 015,mobile_service_point,mobile,"Near DDA Flats, Ashok Vihar, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0051,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_016_0051,Mobile Service Point 016,mobile service point 016,mobile_service_point,mobile,"CRPF Camp, Mayur Vihar-III, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0052,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_017_0052,Mobile Service Point 017,mobile service point 017,mobile_service_point,mobile,Near church block 13 Trilokpuri Delhi.,,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0053,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_018_0053,Mobile Service Point 018,mobile service point 018,mobile_service_point,mobile,Opposite to D7 market Vishram Chowk Sector 5 Delhi.,,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0054,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_019_0054,Mobile Service Point 019,mobile service point 019,mobile_service_point,mobile,Govt. Co-ed. Senior secondary school Shahbad dairy Near Sant Javiour school Main road Delhi-110042,,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0055,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_020_0055,Mobile Service Point 020,mobile service point 020,mobile_service_point,mobile,Opposite Gomti appartment gate Kalkaji extension New Delhi.,,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0056,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_021_0056,Mobile Service Point 021,mobile service point 021,mobile_service_point,mobile,Gate no. 1 Najeevan Vihar Delhi,,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0057,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_022_0057,Mobile Service Point 022,mobile service point 022,mobile_service_point,mobile,Near water booster pumping station Delhi jal Boad block G sector 15 Rohini Delhi-110085,,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
